          it       t  truncado con cos sigmap(n) a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
          79   86101.000000000000       0.78532398051236618        0.0000000000000000        6.9981662332716535E-002   273398286.38225651        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          82   86401.000000000000       0.78530247039060697        0.0000000000000000        7.0197206463291681E-002   273678496.78577805        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          85   86701.000000000000       0.78528089851383331        0.0000000000000000        7.0411398000374173E-002   273956382.73519939        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          88   87001.000000000000       0.78525926533468171        0.0000000000000000        7.0624239462689933E-002   274231961.00810045        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          88   87001.000000000000        1.9638906427474181        0.0000000000000000        5.0253553261346791E-002   337746978.02597594        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          91   87301.000000000000       0.78523757130484118        0.0000000000000000        7.0835733480473478E-002   274505248.30305725        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          91   87301.000000000000        1.9638751386291402        0.0000000000000000        5.0587136164373922E-002   338491555.41333443        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          94   87601.000000000000       0.78521581687501762        0.0000000000000000        7.1045882793091014E-002   274776261.23924768        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          94   87601.000000000000        1.9638595320824599        0.0000000000000000        5.0922030469482585E-002   339235775.09749007        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          97   87901.000000000000       0.78519400249489957        0.0000000000000000        7.1254690246686680E-002   275045016.35607558        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          97   87901.000000000000        1.9638438227061168        0.0000000000000000        5.1258237029286335E-002   339979636.50316876        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         101   88301.000000000000       0.78516482417399425        0.0000000000000000        7.1531017963101420E-002   275399872.78493237        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         101   88301.000000000000        1.9638227162196658        0.0000000000000000        5.1708555178236401E-002   340970893.39718318        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         104   88601.000000000000       0.78514287165267416        0.0000000000000000        7.1736706063044983E-002   275663423.52572310        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         104   88601.000000000000        1.9638067653453819        0.0000000000000000        5.2047826912823829E-002   341713916.59102774        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         108   89001.000000000000       0.78511351076477842        0.0000000000000000        7.2008886002379507E-002   276011400.00726497        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         108   89001.000000000000        1.9637853354023977        0.0000000000000000        5.2502234933148671E-002   342704053.79640681        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         111   89301.000000000000       0.78509142253071584        0.0000000000000000        7.2211472086706363E-002   276269834.95796943        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         111   89301.000000000000        1.9637691408404185        0.0000000000000000        5.2844576263151560E-002   343446235.67368478        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         115   89701.000000000000       0.78506188230393048        0.0000000000000000        7.2479528184545658E-002   276611048.91886634        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         115   89701.000000000000        1.9637473845189035        0.0000000000000000        5.3303079945847771E-002   344435249.06353116        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         119   90101.000000000000       0.78503224103926117        0.0000000000000000        7.2745239156580210E-002   276948450.77226716        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         119   90101.000000000000        1.9637254403816968        0.0000000000000000        5.3763926527736809E-002   345423618.42999029        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         123   90501.000000000000       0.78500249978007575        0.0000000000000000        7.3008613613988263E-002   277282078.15018088        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         123   90501.000000000000        1.9637033074723578        0.0000000000000000        5.4227117794018544E-002   346411342.43858308        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         127   90901.000000000000       0.78497265956561524        0.0000000000000000        7.3269660439607739E-002   277611968.42398614        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         127   90901.000000000000        1.9636809848336305        0.0000000000000000        5.4692655491505732E-002   347398419.75958610        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         132   91401.000000000000       0.78493522171802943        0.0000000000000000        7.3592709696551767E-002   278019132.47322381        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         132   91401.000000000000        1.9636528132686528        0.0000000000000000        5.5277879881329733E-002   348631354.98836261        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         136   91801.000000000000       0.78490516263178001        0.0000000000000000        7.3848553175635587E-002   278340749.54619646        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         136   91801.000000000000        1.9636300602347039        0.0000000000000000        5.5748703237211802E-002   349616972.42511576        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         141   92301.000000000000       0.78486745444547490        0.0000000000000000        7.4165128538524167E-002   278737688.09302938        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         141   92301.000000000000        1.9636013476401204        0.0000000000000000        5.6340539898669391E-002   350848078.63199657        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         146   92801.000000000000       0.78482959886393122        0.0000000000000000        7.4478134337301771E-002   279129045.09025788        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         146   92801.000000000000        1.9635723318474176        0.0000000000000000        5.6936054397563135E-002   352078165.13218212        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         151   93301.000000000000       0.78479159786762065        0.0000000000000000        7.4787590589983771E-002   279514890.63866073        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         151   93301.000000000000        1.9635430109785017        0.0000000000000000        5.7535249725186179E-002   353307229.38078564        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         156   93801.000000000000       0.78475345342523473        0.0000000000000000        7.5093517838370136E-002   279895294.19232517        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         156   93801.000000000000        1.9635133831535185        0.0000000000000000        5.8138128779709398E-002   354535268.84452224        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         161   94301.000000000000       0.78471516749341241        0.0000000000000000        7.5395937123900234E-002   280270324.55763668        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         161   94301.000000000000        1.8000828053927953        0.0000000000000000        5.0023527126648565E-002   333647887.44558549        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         161   94301.000000000000        1.9634834464908941        0.0000000000000000        5.8744694366301545E-002   355762281.00170672        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         167   94901.000000000000       0.78466904034590002        0.0000000000000000        7.5754240084289659E-002   280713364.30808210        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         167   94901.000000000000        1.8000551467136723        0.0000000000000000        5.0731501085056488E-002   335212090.25135911        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         167   94901.000000000000        1.9634471121783266        0.0000000000000000        5.9477443104915637E-002   357233336.01229233        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         173   95501.000000000000       0.78462271558864605        0.0000000000000000        7.6107560626000076E-002   281148881.32384288        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         173   95501.000000000000        1.8000270979718271        0.0000000000000000        5.1445228843192893E-002   336774346.65818721        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         173   95501.000000000000        1.9634103271702348        0.0000000000000000        6.0215508861064783E-002   358702903.77213722        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         179   96101.000000000000       0.78457619653090960        0.0000000000000000        7.6455937671023141E-002   281576990.80216235        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         179   96101.000000000000        1.7999986559762460        0.0000000000000000        5.2164713548697624E-002   338334650.34197712        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         179   96101.000000000000        1.9633730882059826        0.0000000000000000        6.0958895953294567E-002   360170979.98988700        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         185   96701.000000000000       0.78452948645478426        0.0000000000000000        7.6799410970057921E-002   281997806.59432352        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         185   96701.000000000000        1.7999698175324976        0.0000000000000000        5.2889958060964977E-002   339892995.02197397        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         185   96701.000000000000        1.9633353920217567        0.0000000000000000        6.1707608508470665E-002   361637560.39821798        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         191   97301.000000000000       0.78448258861468856        0.0000000000000000        7.7138021049542760E-002   282411441.20650184        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         191   97301.000000000000        1.7999405794428489        0.0000000000000000        5.3620964951891288E-002   341449374.46075249        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         191   97301.000000000000        1.9632972353506721        0.0000000000000000        6.2461650462117949E-002   363102640.75382876        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         198   98001.000000000000       0.78442764145770827        0.0000000000000000        7.7526974643864516E-002   282885086.93506831        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
         198   98001.000000000000        1.7999059589597108        0.0000000000000000        5.4481092363745147E-002   343262658.36494195        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
